accession	message	sample_name	sample_title	bioproject_number	organism	collection_date	env_broad_scale	env_local_scale	env_medium	geo_loc_name	host	lat_lon	isolation_source	sample_id_unique
SAMN13502403	Successfully loaded	13.tp.335	13.tp.335	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.335
SAMN13502404	Successfully loaded	13.tp.338	13.tp.338	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.338
SAMN13502405	Successfully loaded	13.tp.340	13.tp.340	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.340
SAMN13502406	Successfully loaded	13.tp.341	13.tp.341	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.341
SAMN13502407	Successfully loaded	13.tp.347	13.tp.347	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.347
SAMN13502408	Successfully loaded	13.tp.348	13.tp.348	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.348
SAMN13502409	Successfully loaded	13.tp.349	13.tp.349	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.349
SAMN13502410	Successfully loaded	13.tp.351	13.tp.351	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.351
SAMN13502411	Successfully loaded	13.tp.354	13.tp.354	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.354
SAMN13502412	Successfully loaded	13.tp.356	13.tp.356	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.356
